11/09/2020 00:00:37|INFO    |root                            |Throttling opensubtitles for 20 minutes, until 20/09/11 00:20, because of: ServiceUnavailable. Exception info: '503'|
11/09/2020 00:05:40|INFO    |root                            |BAZARR Finished searching for missing Series Subtitles. Check History for more information.|
11/09/2020 01:50:18|INFO    |root                            |BAZARR All existing episode subtitles indexed from disk.|
11/09/2020 02:49:52|INFO    |root                            |Using opensubtitles again after 20 minutes, (disabled because: ServiceUnavailable)|
11/09/2020 02:49:53|INFO    |root                            |BAZARR Search is not active for this Movie /mnt/remote/Media/Movies/Concerts/Dire Straits - On The Night (1993)/Dire Straits - On The Night (1993).mp4 Language: pt|
11/09/2020 02:49:53|INFO    |root                            |BAZARR Search is not active for this Movie /mnt/remote/Media/Movies/Concerts/Dire Straits - On The Night (1993)/Dire Straits - On The Night (1993).mp4 Language: pb|
11/09/2020 02:49:53|INFO    |root                            |BAZARR Search is not active for this Movie /mnt/remote/Media/Movies/Concerts/Dire Straits -Â Alchemy Live (1984)/Dire Straits -Â Alchemy Live (1984).mkv Language: pt|
11/09/2020 02:49:53|INFO    |root                            |BAZARR Search is not active for this Movie /mnt/remote/Media/Movies/Concerts/Dire Straits -Â Alchemy Live (1984)/Dire Straits -Â Alchemy Live (1984).mkv Language: pb|
11/09/2020 02:49:53|INFO    |root                            |BAZARR Search is not active for this Movie /mnt/remote/Media/Movies/Concerts/Guns N' Roses - Live at the Ritz (1988)/Guns N' Roses - Live at the Ritz (1988).mkv Language: pt|
11/09/2020 02:49:53|INFO    |root                            |BAZARR Search is not active for this Movie /mnt/remote/Media/Movies/Concerts/Guns N' Roses - Live at the Ritz (1988)/Guns N' Roses - Live at the Ritz (1988).mkv Language: pb|
11/09/2020 02:49:53|INFO    |root                            |BAZARR Search is not active for this Movie /mnt/remote/Media/Movies/Concerts/Guns N' Roses - Live in Paradise City (2012)/Guns N' Roses - Live in Paradise City (2012).mkv Language: pt|
11/09/2020 02:49:53|INFO    |root                            |BAZARR Search is not active for this Movie /mnt/remote/Media/Movies/Concerts/Guns N' Roses - Live in Paradise City (2012)/Guns N' Roses - Live in Paradise City (2012).mkv Language: pb|
11/09/2020 02:49:53|INFO    |root                            |BAZARR Search is not active for this Movie /mnt/remote/Media/Movies/Concerts/Guns N' Roses - Live Tokyo '92 (1992)/Guns N' Roses - Live Tokyo '92 (1992).mkv Language: pt|
11/09/2020 02:49:53|INFO    |root                            |BAZARR Search is not active for this Movie /mnt/remote/Media/Movies/Concerts/Guns N' Roses - Live Tokyo '92 (1992)/Guns N' Roses - Live Tokyo '92 (1992).mkv Language: pb|
11/09/2020 02:49:53|INFO    |root                            |BAZARR Search is not active for this Movie /mnt/remote/Media/Movies/Concerts/Guns N' Roses - Rock in Rio 2017 (2017)/Guns N' Roses - Rock in Rio 2017 (2017).mkv Language: pt|
11/09/2020 02:49:53|INFO    |root                            |BAZARR Search is not active for this Movie /mnt/remote/Media/Movies/Concerts/Guns N' Roses - Rock in Rio 2017 (2017)/Guns N' Roses - Rock in Rio 2017 (2017).mkv Language: pb|
11/09/2020 02:49:53|INFO    |root                            |BAZARR Search is not active for this Movie /mnt/remote/Media/Movies/Concerts/Pink Floyd - Delicate Sound of Thunder (1989)/Pink Floyd - Delicate Sound of Thunder (1989).mkv Language: pt|
11/09/2020 02:49:53|INFO    |root                            |BAZARR Search is not active for this Movie /mnt/remote/Media/Movies/Concerts/Pink Floyd - Delicate Sound of Thunder (1989)/Pink Floyd - Delicate Sound of Thunder (1989).mkv Language: pb|
11/09/2020 02:49:53|INFO    |root                            |BAZARR Search is not active for this Movie /mnt/remote/Media/Movies/Concerts/Pink Floyd - Live at Knebworth (1990)/Pink Floyd - Live at Knebworth (1990).mkv Language: pt|
11/09/2020 02:49:53|INFO    |root                            |BAZARR Search is not active for this Movie /mnt/remote/Media/Movies/Concerts/Pink Floyd - Live at Knebworth (1990)/Pink Floyd - Live at Knebworth (1990).mkv Language: pb|
11/09/2020 02:49:53|INFO    |root                            |BAZARR Search is not active for this Movie /mnt/remote/Media/Movies/Concerts/Pink Floyd - Live in Venice (1989)/Pink Floyd - Live in Venice (1989).mkv Language: pt|
11/09/2020 02:49:53|INFO    |root                            |BAZARR Search is not active for this Movie /mnt/remote/Media/Movies/Concerts/Pink Floyd - Live in Venice (1989)/Pink Floyd - Live in Venice (1989).mkv Language: pb|
11/09/2020 02:49:53|INFO    |root                            |BAZARR Search is not active for this Movie /mnt/remote/Media/Movies/Concerts/Pink Floyd - Pulse (1995)/Pink Floyd - Pulse (1995).mkv Language: pt|
11/09/2020 02:49:53|INFO    |root                            |BAZARR Search is not active for this Movie /mnt/remote/Media/Movies/Concerts/Pink Floyd - Pulse (1995)/Pink Floyd - Pulse (1995).mkv Language: pb|
11/09/2020 02:49:53|INFO    |root                            |BAZARR Search is not active for this Movie /mnt/remote/Media/Movies/Concerts/Queen - Live Aid (1985)/Queen - Live Aid (1985).mkv Language: pb|
11/09/2020 02:49:53|INFO    |root                            |BAZARR Search is not active for this Movie /mnt/remote/Media/Movies/Concerts/Scorpions - Acoustica (2001)/Scorpions - Acoustica (2001).mkv Language: pt|
11/09/2020 02:49:53|INFO    |root                            |BAZARR Search is not active for this Movie /mnt/remote/Media/Movies/Concerts/Scorpions - Acoustica (2001)/Scorpions - Acoustica (2001).mkv Language: pb|
11/09/2020 02:53:47|INFO    |root                            |BAZARR Finished searching for missing Movies Subtitles. Check History for more information.|
11/09/2020 02:59:18|WARNING |retry.api                       |('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')), retrying in 5 seconds...|
11/09/2020 03:07:26|INFO    |apprise.URLBase                 |Sent Discord notification.|
11/09/2020 03:07:37|INFO    |root                            |BAZARR Finished searching for missing Series Subtitles. Check History for more information.|
11/09/2020 05:00:06|ERROR   |root                            |BAZARR subtitles file doesn't seems to be text based. Skipping this file: /mnt/remote/Media/Movies/Concerts/Guns N' Roses - Live at the Ritz (1988)/Guns N' Roses - Live at the Ritz (1988).sub|'Traceback (most recent call last):\n  File "/app/bazarr/list_subtitles.py", line 383, in guess_external_subtitles\n    text = text.decode(guess["encoding"])\nTypeError: decode() argument \'encoding\' must be str, not None'|
11/09/2020 05:49:53|INFO    |root                            |BAZARR Search is not active for this Movie /mnt/remote/Media/Movies/Concerts/Dire Straits - On The Night (1993)/Dire Straits - On The Night (1993).mp4 Language: pt|
11/09/2020 05:49:53|INFO    |root                            |BAZARR Search is not active for this Movie /mnt/remote/Media/Movies/Concerts/Dire Straits - On The Night (1993)/Dire Straits - On The Night (1993).mp4 Language: pb|
